hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0550?ys=2025RS' target='_blank'>HB0550</a>,Delegate Feldmark,Elections,Local Public Campaign Financing - Expansion to Additional Offices,Hearing 2/04 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0551?ys=2025RS' target='_blank'>HB0551</a>,Delegate Feldmark,Primary and Secondary Education,Primary and Secondary Education - Public School Employees - Salaries,Hearing 2/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0517?ys=2025RS' target='_blank'>SB0517</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0785?ys=2025RS' target='_blank'>HB0785</a>,Delegate Feldmark,Primary and Secondary Education,Common Ownership Communities and Zoning Authorities - Operation of Family Child Care Homes - Limitations,First Reading Judicial Proceedings,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0816?ys=2025RS' target='_blank'>HB0816</a>,Delegate Feldmark,Elections,"Election Law - Petitions and Ballot Questions - Contents, Plain Language Requirement, and Procedures",Hearing 2/18 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0615?ys=2025RS' target='_blank'>SB0615</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1049?ys=2025RS' target='_blank'>HB1049</a>,Delegate Feldmark,Public Health,Behavioral Health Crisis Response Grant Program - Funding,Hearing 3/04 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0599?ys=2025RS' target='_blank'>SB0599</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1097?ys=2025RS' target='_blank'>HB1097</a>,Delegate Feldmark,Elections,Workgroup on Mail-In Ballot Accessibility,Hearing 2/24 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0929?ys=2025RS' target='_blank'>SB0929</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1113?ys=2025RS' target='_blank'>HB1113</a>,Delegate Feldmark,Elections,Election Law - Enhanced Automatic Voter Registration System,Hearing 2/24 at 11:00 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1122?ys=2025RS' target='_blank'>HB1122</a>,Delegate Feldmark,Primary and Secondary Education,Office of Child Care Advisory Council - Membership - Alterations,Hearing 3/20 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1164?ys=2025RS' target='_blank'>HB1164</a>,Delegate Feldmark,Local Government - Generally,Counties and Municipalities - Homelessness - Local Laws (Right to Rest Act),Hearing 3/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1221?ys=2025RS' target='_blank'>HB1221</a>,Delegate Feldmark,Real Property,Common Ownership Communities - Online Publication of Resale Disclosures,Hearing 2/28 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1237?ys=2025RS' target='_blank'>HB1237</a>,Delegate Feldmark,Environment,Department of the Environment - Public Comment Period - Requirement,Unfavorable Report by Environment and Transportation; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1475?ys=2025RS' target='_blank'>HB1475</a>,Delegate Feldmark,Education - Miscellaneous,Office of Child Care Advisory Council - Publicly Funded Prekindergarten - Analysis and Report (Mixed Delivery Model Viability Act),Favorable with Amendments Report by Ways and Means,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0444?ys=2025RS' target='_blank'>HB0444</a>,Delegate Hill,Criminal Law - Substantive Crimes,Criminal Law – Interference With Critical Infrastructure or a Public Safety Answering Point – Penalties,Hearing 2/04 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0445?ys=2025RS' target='_blank'>HB0445</a>,Delegate Hill,Criminal Law - Substantive Crimes,Criminal Law - Interference With a Public Safety Answering Point - Penalties,First Reading Judicial Proceedings,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0081?ys=2025RS' target='_blank'>SB0081</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0514?ys=2025RS' target='_blank'>HB0514</a>,Delegate Hill,Health Occupations,Health Occupations - State Board of Chiropractic Examiners - Revisions,First Reading Finance,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0052?ys=2025RS' target='_blank'>SB0052</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0534?ys=2025RS' target='_blank'>HB0534</a>,Delegate Hill,Health Occupations,Interstate Dental and Dental Hygiene Licensure Compact,Hearing 2/18 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0538?ys=2025RS' target='_blank'>SB0538</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0820?ys=2025RS' target='_blank'>HB0820</a>,Delegate Hill,Health - Insurance,Health Insurance - Utilization Review - Use of Artificial Intelligence,First Reading Finance,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0822?ys=2025RS' target='_blank'>HB0822</a>,Delegate Hill,Human Relations,"Declaration of Rights - Religious Freedom, Religious Tests, and Oaths and Affirmations",Hearing 3/04 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0855?ys=2025RS' target='_blank'>HB0855</a>,Delegate Hill,"State Government - Agencies, Offices, and Officials",Workgroup on Establishing a Science and Technology Best Practices and Innovation Network - Alterations,Third Reading Passed (137-1),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0858?ys=2025RS' target='_blank'>HB0858</a>,Delegate Hill,Environment,Mattress Stewardship Program - Establishment,Hearing 3/05 at 1:00 p.m. (Environment and Transportation),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0878?ys=2025RS' target='_blank'>HB0878</a>,Delegate Hill,Environment,Department of the Environment - Water Resources - Protection of Vernal Pools (Vernal Pool Wetlands Protection Act of 2025),Hearing 2/19 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1177?ys=2025RS' target='_blank'>HB1177</a>,Delegate Hill,Real Property,Landlord and Tenant - Tenant Repair and Maintenance Complaint Hotline - Establishment,Hearing 2/28 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1199?ys=2025RS' target='_blank'>HB1199</a>,Delegate Hill,Health Occupations,Physicians - Licensing - Internationally Trained Physicians,Hearing 3/10 at 11:30 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1242?ys=2025RS' target='_blank'>HB1242</a>,Delegate Hill,Primary and Secondary Education,Primary and Secondary Students - Vision and Hearing Studies and Evaluations,Hearing 3/05 at 1:15 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1328?ys=2025RS' target='_blank'>HB1328</a>,Delegate Hill,Public Health,End-of-Life Option Act (The Honorable Elijah E. Cummings and the Honorable Shane E. Pendergrass Act),Hearing 3/03 at 2:00 p.m. (Health and Government Operations) and Hearing 3/03 at 2:00 p.m. (Judiciary),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0926?ys=2025RS' target='_blank'>SB0926</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1393?ys=2025RS' target='_blank'>HB1393</a>,Delegate Hill,Public Health,"Youth Sports Programs - Registrations, Personnel, and Policy",Hearing 3/03 at 11:00 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1477?ys=2025RS' target='_blank'>HB1477</a>,Delegate Hill,Commercial Law - Generally,Consumer Protection - Consumer Reporting Agencies - Use of Algorithmic Systems,Hearing canceled,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1478?ys=2025RS' target='_blank'>HB1478</a>,Delegate Hill,Health Care Facilities and Regulation,Public Health - Home Health Care Providers - Directory,Favorable with Amendments Report by Health and Government Operations,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1481?ys=2025RS' target='_blank'>HB1481</a>,Delegate Hill,Disabled,Disability Services - Adapted Vehicle Access Pilot Program - Established,Favorable with Amendments Report by Health and Government Operations,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0069?ys=2025RS' target='_blank'>HB0069</a>,Delegate Terrasa,Environment,Environment - Plastic Products - Postconsumer Recycled Content Program,Hearing 2/14 at 1:30 p.m. (Environment and Transportation),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0232?ys=2025RS' target='_blank'>HB0232</a>,Delegate Terrasa,Environment,Maryland Beverage Container Recycling Refund and Litter Reduction Program,Hearing 2/14 at 1:30 p.m. (Environment and Transportation),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0346?ys=2025RS' target='_blank'>SB0346</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0660?ys=2025RS' target='_blank'>HB0660</a>,Delegate Terrasa,Estates and Trusts,Estates and Trusts - Register of Wills - Admission of Copy of Executed Will,Hearing 2/12 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0664?ys=2025RS' target='_blank'>HB0664</a>,Delegate Terrasa,Health Occupations,Health Occupations - Licensed Direct-Entry Midwives - Disciplinary Actions,Hearing 3/20 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0673?ys=2025RS' target='_blank'>HB0673</a>,Delegate Terrasa,Real Property,Condominiums and Homeowners Associations - Governing Documents - Electric Vehicle Recharging Equipment,Hearing 2/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0767?ys=2025RS' target='_blank'>HB0767</a>,Delegate Terrasa,Real Property,"Real Property - Landlord and Tenant - Procedures for Failure to Pay Rent, Breach of Lease, and Tenant Holding Over (Tenant Possessions Recovery Act)",Special Order until 03/15 (Delegate M. Morgan) Adopted,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0442?ys=2025RS' target='_blank'>SB0442</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0811?ys=2025RS' target='_blank'>HB0811</a>,Delegate Terrasa,Counties - Generally,Counties – Construction of Sidewalks and Crosswalks – Safe Alternative Routes to Public Schools,Hearing 3/04 at 1:00 p.m. (Environment and Transportation),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0526?ys=2025RS' target='_blank'>SB0526</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0834?ys=2025RS' target='_blank'>HB0834</a>,Delegate Terrasa,Agriculture,Agriculture - Confinement of Egg-Laying Hens in Commercial Egg Production - Prohibitions,Hearing 2/19 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0806?ys=2025RS' target='_blank'>SB0806</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1058?ys=2025RS' target='_blank'>HB1058</a>,Delegate Terrasa,Environment,"Emission Standards, Ambient Air Quality Standards, and Solid Waste Management - Local Authority",Hearing 2/26 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1076?ys=2025RS' target='_blank'>HB1076</a>,Delegate Terrasa,Real Property,Residential Real Property - Landlord and Tenant - Notice of Landlord Entry,Special Order until 03/15 (Delegate Holmes) Adopted,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1092?ys=2025RS' target='_blank'>HB1092</a>,Delegate Terrasa,Environment,Recycling - Prohibition on the Chemical Conversion of Plastic,Hearing 2/26 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1371?ys=2025RS' target='_blank'>HB1371</a>,Delegate Terrasa,Vehicle Laws - Licensing and Regulation,Vehicle Laws - Driver's Licenses - Electronic Credentials (Maryland Mobile ID Enhancement Act),Second Reading Passed,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1444?ys=2025RS' target='_blank'>HB1444</a>,Delegate Terrasa,Counties - Generally,Local Government - Moderate Income Housing Unit Requirements - Prohibition Against Fee-in-Lieu,Hearing 3/04 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1496?ys=2025RS' target='_blank'>HB1496</a>,Delegate Terrasa,Public Safety,Building Code - Construction and Significant Renovation of Housing Units - Electric Vehicle Parking Spaces,Hearing 3/12 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1542?ys=2025RS' target='_blank'>HB1542</a>,Delegate Terrasa,Ethics,Maryland Public Ethics Law - Regulated Lobbyists - Reporting Requirements,First Reading House Rules and Executive Nominations,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0044?ys=2025RS' target='_blank'>HB0044</a>,Delegate Wu,Elections,Election Law - Circuit Court Judges - Nonpartisan Elections,Hearing 2/12 at 1:00 p.m. (Judiciary),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0066?ys=2025RS' target='_blank'>HB0066</a>,Delegate Wu,Primary and Secondary Education,Education - School Building Energy Usage - Monthly Report,Hearing 1/28 at 1:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0818?ys=2025RS' target='_blank'>SB0818</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0147?ys=2025RS' target='_blank'>HB0147</a>,Delegate Wu,Primary and Secondary Education,County Boards of Education - Student Technology Use Policy - Requirements,Third Reading Passed (140-0),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0804?ys=2025RS' target='_blank'>HB0804</a>,Delegate Wu,Real Property,Multifamily Dwellings - Smoking Policies,Hearing 2/18 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0823?ys=2025RS' target='_blank'>HB0823</a>,Delegate Wu,Information Technology - Generally,Generative Artificial Intelligence - Training Data Transparency,Hearing 2/18 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1047?ys=2025RS' target='_blank'>HB1047</a>,Delegate Wu,Taxes - Income,Income Tax - Credit for Employers of Eligible Apprentices - Alterations,Hearing 2/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0325?ys=2025RS' target='_blank'>SB0325</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1054?ys=2025RS' target='_blank'>HB1054</a>,Delegate Wu,Higher Education,Higher Education – High Impact Economic Development Activities – Alterations,Hearing 3/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0439?ys=2025RS' target='_blank'>SB0439</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1309?ys=2025RS' target='_blank'>HB1309</a>,Delegate Wu,Primary and Secondary Education,"Cybersecurity – Standards, Compliance, and Audits – Alterations",Hearing 3/10 at 11:30 a.m. (Health and Government Operations),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0907?ys=2025RS' target='_blank'>SB0907</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1317?ys=2025RS' target='_blank'>HB1317</a>,Delegate Wu,Primary and Secondary Education,County Superintendents - Contracts - Required Provisions (Superintendent Buyout Limit),Hearing 3/05 at 1:15 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0113?ys=2025RS' target='_blank'>HB0113</a>,Delegate Ziegler,Civil Actions and Procedures,Civil Actions - Noneconomic Damages - Personal Injury and Wrongful Death,Hearing 2/19 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0584?ys=2025RS' target='_blank'>SB0584</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0148?ys=2025RS' target='_blank'>HB0148</a>,Delegate Ziegler,Insurance - Other than Health,Private Passenger Motor Vehicle Insurance - Premium Increase - Prohibition,Hearing 1/22 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0162?ys=2025RS' target='_blank'>HB0162</a>,Delegate Ziegler,Agriculture,Maryland Horse Industry Board - Breeding Stables and Horse Establishments - Definitions,Unfavorable Report by Environment and Transportation; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0380?ys=2025RS' target='_blank'>SB0380</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0470?ys=2025RS' target='_blank'>HB0470</a>,Delegate Ziegler,Vehicle Laws - Rules of the Road,"Vehicle Laws - Obscured, Modified, or Blocked Registration Plates and Registration Plate Covers",Second Reading Passed with Amendments,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0322?ys=2025RS' target='_blank'>SB0322</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0483?ys=2025RS' target='_blank'>HB0483</a>,Delegate Ziegler,Taxes - Income,Income Tax Credit - Venison Donation - Alterations,Hearing 2/06 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1256?ys=2025RS' target='_blank'>HB1256</a>,Delegate Ziegler,Vehicle Laws - Rules of the Road,Vehicle Laws - Fully Autonomous Vehicles,Hearing 2/27 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0949?ys=2025RS' target='_blank'>SB0949</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0563?ys=2025RS' target='_blank'>HB0563</a>,Dorchester County Delegation,Counties - Local Laws,Dorchester County - County Property Leases - Notice Exemptions,Hearing 2/18 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0797?ys=2025RS' target='_blank'>SB0797</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0564?ys=2025RS' target='_blank'>HB0564</a>,Dorchester County Delegation,Alcoholic Beverages - Local Bills,"Dorchester County - Alcoholic Beverages - Venue Beer, Wine, and Liquor License",Favorable with Amendments Report by Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0802?ys=2025RS' target='_blank'>SB0802</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0566?ys=2025RS' target='_blank'>HB0566</a>,Dorchester County Delegation,Alcoholic Beverages - Local Bills,Dorchester County - Alcoholic Beverages Licenses - Fees,Favorable Report by Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0869?ys=2025RS' target='_blank'>SB0869</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0567?ys=2025RS' target='_blank'>HB0567</a>,Dorchester County Delegation,Alcoholic Beverages - Local Bills,Dorchester County - Alcoholic Beverages - Arts Beer and Wine License,Hearing 2/17 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0800?ys=2025RS' target='_blank'>SB0800</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0568?ys=2025RS' target='_blank'>HB0568</a>,Dorchester County Delegation,Alcoholic Beverages - Local Bills,Dorchester County - Alcoholic Beverages - Issuance of License Near a Place of Worship or School,Unfavorable Report by Economic Matters; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0801?ys=2025RS' target='_blank'>SB0801</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0569?ys=2025RS' target='_blank'>HB0569</a>,Dorchester County Delegation,Alcoholic Beverages - Local Bills,"Dorchester County - Alcoholic Beverages - Beer, Wine, and Liquor Tasting License",Favorable Report by Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0839?ys=2025RS' target='_blank'>SB0839</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1124?ys=2025RS' target='_blank'>HB1124</a>,Dorchester County Delegation,Environment,Dorchester County - Well and On-Site Sewage Disposal Activities - Privatization Program,Favorable with Amendments Report by Environment and Transportation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0964?ys=2025RS' target='_blank'>SB0964</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0800?ys=2025RS' target='_blank'>SB0800</a>,Dorchester County Senators,Alcoholic Beverages - Local Bills,Dorchester County – Alcoholic Beverages – Arts Beer and Wine License,First Reading Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0567?ys=2025RS' target='_blank'>HB0567</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0801?ys=2025RS' target='_blank'>SB0801</a>,Dorchester County Senators,Alcoholic Beverages - Local Bills,Dorchester County – Alcoholic Beverages – Issuance of License Near a Place of Worship or School,Unfavorable Report by Finance; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0568?ys=2025RS' target='_blank'>HB0568</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0802?ys=2025RS' target='_blank'>SB0802</a>,Dorchester County Senators,Alcoholic Beverages - Local Bills,"Dorchester County - Alcoholic Beverages - Venue Beer, Wine, and Liquor License",First Reading Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0564?ys=2025RS' target='_blank'>HB0564</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0839?ys=2025RS' target='_blank'>SB0839</a>,Dorchester County Senators,Alcoholic Beverages - Local Bills,"Dorchester County – Alcoholic Beverages – Beer, Wine, and Liquor Tasting License",First Reading Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0569?ys=2025RS' target='_blank'>HB0569</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0964?ys=2025RS' target='_blank'>SB0964</a>,Dorchester County Senators,Environment,Dorchester County - Well and On-Site Sewage Disposal Activities - Privatization Program,First Reading Environment and Transportation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1124?ys=2025RS' target='_blank'>HB1124</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0808?ys=2025RS' target='_blank'>HB0808</a>,Howard County Delegation,Real Property,Columbia Association - Lease Requirements and Governing Documents Ho. Co. 14-25,Hearing 3/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1311?ys=2025RS' target='_blank'>HB1311</a>,Howard County Delegation,Vehicle Laws - Rules of the Road,Howard County - Speed Monitoring Systems - Authorization Ho. Co. 9-25,First Reading Environment and Transportation,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1384?ys=2025RS' target='_blank'>HB1384</a>,Howard County Delegation,Education - Local Bills,Howard County - Study on Detecting Deadly Weapons in Public Middle and High Schools Ho. Co. 15-25,Unfavorable Report by Ways and Means; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1386?ys=2025RS' target='_blank'>HB1386</a>,Howard County Delegation,Education - Local Bills,Howard County - Board of Education - Mandatory School Holidays Ho. Co. 10-25,Unfavorable Report by Ways and Means; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1387?ys=2025RS' target='_blank'>HB1387</a>,Howard County Delegation,Alcoholic Beverages - Local Bills,Howard County - Alcoholic Beverages - Class D Licenses - Delivery,Favorable Report by Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB1036?ys=2025RS' target='_blank'>SB1036</a>
